Country,City,AccentCity,Region,Population,Latitude,Longitude
ch,blumenstein,Blumenstein,05,,46.7421,7.521361
ch,boden,Boden,14,,46.668756,8.266648
ch,boden,Boden,21,,46.866667,8.583333
ch,bodio,Bodio,20,,46.378389,8.911669
ch,boegia,Boegia,09,,46.464338,9.684908
ch,boggia,Boggia,09,,46.464338,9.684908
ch,bogia,Bogia,09,,46.464338,9.684908
ch,bogis-bossey,Bogis-Bossey,07,,46.35,6.166667
ch,bogno,Bogno,20,,46.089716,9.063468
ch,bolastro,Bolastro,20,,46.303956,8.762858
ch,bolgen,Bolgen,09,,46.788804,9.821842
ch,bollaigues,Bollaigues,05,,46.974194,7.495697
ch,boll,Boll,05,,46.954085,7.548335
ch,bolligen,Bolligen,05,6291,46.974194,7.495697
ch,bolligen-dorf,Bolligen-Dorf,05,,46.974194,7.495697
ch,boltigen,Boltigen,05,,46.628904,7.391109
ch,bolzbach,Bolzbach,21,,46.898194,8.593593
ch,bonaduz,Bonaduz,09,,46.811032,9.398214
ch,boncourt,Boncourt,26,,47.495603,7.014229
ch,bonfol,Bonfol,26,,47.477352,7.151441
ch,bonigen,Bonigen,05,,46.687356,7.893496
ch,boniswil,Boniswil,01,,47.317253,8.189632
ch,bonmont,Bonmont,07,,45.366667,6.133333
ch,bonnefontaine,Bonnefontaine,06,,46.741072,7.201311
ch,bonstetten,Bonstetten,25,,47.315545,8.466652
ch,bonvillars,Bonvillars,23,,46.839024,6.671044
ch,borex,Borex,07,,46.379202,6.178218
ch,borgnone,Borgnone,20,,46.159773,8.615724
ch,borgonovo,Borgonovo,09,,46.347891,9.60437
ch,bort,Bort,05,,46.717012,7.847706
ch,bosco gurin,Bosco Gurin,20,,46.31696,8.491228
ch,bosingen,Bosingen,06,,46.892288,7.227702
ch,bossey,Bossey,07,,46.35,6.166667
ch,bottens,Bottens,23,,46.617106,6.660454
ch,bottenwil,Bottenwil,01,,47.285412,8.004638
ch,bottighofen,Bottighofen,15,,47.636413,9.208838
ch,bottmingen,Bottmingen,04,5956,47.522735,7.569016
ch,bottstein,Bottstein,01,,47.553986,8.220009
